timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635078630142,161,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,153192,9719,7,7,null,0,2281,1
1635078632423,161,Open Home Page,200,OK,Editor script 1-7,text,true,,153192,9719,7,7,http://192.168.1.87/blog/,16,0,1
1635078630536,176,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,161732,25935,7,7,null,0,2433,0
1635078632967,176,Log into Account,200,OK,Editor script 1-6,text,true,,161732,25935,7,7,http://192.168.1.87/blog/,3,0,0
1635078630753,17,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,182,1942,7,7,null,0,2489,0
1635078633241,17,Edit Post,200,OK,Editor script 1-2,,true,,182,1942,7,7,http://192.168.1.87/blog/api/posts/update/foo,17,0,0
1635078631191,156,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,157095,26133,7,7,null,0,2275,0
1635078633463,156,Open Post,200,OK,Editor script 1-4,text,true,,157095,26133,7,7,http://192.168.1.87/blog/post/o-sY1jId-GTpdkjIf9-cTi-j1,14,0,0
1635078631347,135,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,154732,24888,7,7,null,0,2286,0
1635078633631,135,Open Predefined Date,200,OK,Editor script 1-5,text,true,,154732,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,10,0,0
1635078631671,22,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,182,1994,7,7,null,0,2313,0
1635078631578,140,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,153832,10942,7,7,null,0,2288,3
1635078633982,22,Edit Post,200,OK,Editor script 1-3,,true,,182,1994,7,7,http://192.168.1.87/blog/api/posts/update/foo,22,0,0
1635078633864,140,Log out,200,OK,Editor script 1-1,text,true,,153832,10942,7,7,http://192.168.1.87/blog/,10,0,3
1635078632584,224,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,161611,25934,7,7,null,0,2352,0
1635078634935,224,Log into Account,200,OK,Editor script 1-7,text,true,,161611,25934,7,7,http://192.168.1.87/blog/,9,0,0
1635078633144,194,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,154880,24888,7,7,null,0,2053,0
1635078635196,194,Open Predefined Date,200,OK,Editor script 1-6,text,true,,154880,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,13,0,0
1635078633259,146,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,153648,10942,7,7,null,0,2279,0
1635078635538,146,Log out,200,OK,Editor script 1-2,text,true,,153648,10942,7,7,http://192.168.1.87/blog/,3,0,0
1635078633621,16,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,182,2012,7,7,null,0,2186,0
1635078635807,16,Edit Post,200,OK,Editor script 1-4,,true,,182,2012,7,7,http://192.168.1.87/blog/api/posts/update/foo,16,0,0
1635078633767,202,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,157524,26127,7,7,null,0,2158,0
1635078635924,202,Open Post,200,OK,Editor script 1-5,text,true,,157524,26127,7,7,http://192.168.1.87/blog/post/xu4oi00Jev54V7b-pY1,29,0,0
1635078634005,196,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,153091,9719,7,7,null,0,2044,2
1635078636049,196,Open Home Page,200,OK,Editor script 1-1,text,true,,153091,9719,7,7,http://192.168.1.87/blog/,26,0,2
1635078634005,142,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,153709,10942,7,7,null,0,2247,0
1635078636251,142,Log out,200,OK,Editor script 1-3,text,true,,153709,10942,7,7,http://192.168.1.87/blog/,4,0,0
1635078635392,194,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,157344,26140,7,7,null,0,2166,0
1635078637557,194,Open Post,200,OK,Editor script 1-6,text,true,,157344,26140,7,7,http://192.168.1.87/blog/post/1IMHZ-bzMXkRmX10n7J2-RUyH2-fkkR1,13,0,0
1635078635159,212,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,154748,24888,7,7,null,0,2456,0
1635078637615,212,Open Predefined Date,200,OK,Editor script 1-7,text,true,,154748,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,39,0,0
1635078635684,157,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,153142,9719,7,7,null,0,2253,0
1635078637936,157,Open Home Page,200,OK,Editor script 1-2,text,true,,153142,9719,7,7,http://192.168.1.87/blog/,13,0,0
1635078635823,125,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,153542,10942,7,7,null,0,2233,0
1635078638056,125,Log out,200,OK,Editor script 1-4,text,true,,153542,10942,7,7,http://192.168.1.87/blog/,4,0,0
1635078636127,43,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,182,1994,7,7,null,0,2483,0
1635078638609,43,Edit Post,200,OK,Editor script 1-5,,true,,182,1994,7,7,http://192.168.1.87/blog/api/posts/update/foo,43,0,0
1635078636245,151,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,161707,25935,7,7,null,0,2300,2
1635078638545,151,Log into Account,200,OK,Editor script 1-1,text,true,,161707,25935,7,7,http://192.168.1.87/blog/,6,0,2
1635078636394,160,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,153215,9719,7,7,null,0,2302,0
1635078638695,160,Open Home Page,200,OK,Editor script 1-3,text,true,,153215,9719,7,7,http://192.168.1.87/blog/,8,0,0
1635078637827,154,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,157960,26135,7,7,null,0,2209,0
1635078640035,154,Open Post,200,OK,Editor script 1-7,text,true,,157960,26135,7,7,http://192.168.1.87/blog/post/Gq3UeljfCS-ViLa-GP-oHhTWvH1,19,0,0
1635078637752,32,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,182,1942,7,7,null,0,2429,0
1635078640181,32,Edit Post,200,OK,Editor script 1-6,,true,,182,1942,7,7,http://192.168.1.87/blog/api/posts/update/foo,32,0,0
1635078638094,152,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,161874,25934,7,7,null,0,2204,2
1635078640298,152,Log into Account,200,OK,Editor script 1-2,text,true,,161874,25934,7,7,http://192.168.1.87/blog/,15,0,2
1635078638182,121,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,153335,9719,7,7,null,0,2444,0
1635078640626,121,Open Home Page,200,OK,Editor script 1-4,text,true,,153335,9719,7,7,http://192.168.1.87/blog/,9,0,0
1635078638653,131,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,153625,10942,7,7,null,0,2194,0
1635078640847,131,Log out,200,OK,Editor script 1-5,text,true,,153625,10942,7,7,http://192.168.1.87/blog/,3,0,0
1635078638696,190,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,154926,24888,7,7,null,0,2373,1
1635078641068,190,Open Predefined Date,200,OK,Editor script 1-1,text,true,,154926,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,8,0,1
1635078638856,189,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,161761,25935,7,7,null,0,2281,0
1635078641137,189,Log into Account,200,OK,Editor script 1-3,text,true,,161761,25935,7,7,http://192.168.1.87/blog/,10,0,0
1635078640213,151,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,153624,10942,7,7,null,0,2175,0
1635078642388,151,Log out,200,OK,Editor script 1-6,text,true,,153624,10942,7,7,http://192.168.1.87/blog/,6,0,0
1635078640190,31,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,182,2018,7,7,null,0,2482,0
1635078642672,31,Edit Post,200,OK,Editor script 1-7,,true,,182,2018,7,7,http://192.168.1.87/blog/api/posts/update/foo,31,0,0
1635078640451,159,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,154883,24888,7,7,null,0,2123,1
1635078642573,159,Open Predefined Date,200,OK,Editor script 1-2,text,true,,154883,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,7,0,1
1635078640748,150,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,161565,25934,7,7,null,0,2377,0
1635078643125,150,Log into Account,200,OK,Editor script 1-4,text,true,,161565,25934,7,7,http://192.168.1.87/blog/,26,0,0
1635078640979,194,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,153120,9719,7,7,null,0,2331,0
1635078643309,194,Open Home Page,200,OK,Editor script 1-5,text,true,,153120,9719,7,7,http://192.168.1.87/blog/,14,0,0
